iter	Passed	Remaining
558	4344	3427
559	4351	3418
560	4358	3410
561	4365	3402
562	4372	3394
563	4380	3386
564	4388	3378
565	4395	3370
566	4401	3361
567	4409	3354
568	4416	3345
569	4424	3337
570	4431	3329
571	4439	3321
572	4445	3313
573	4452	3304
574	4459	3296
575	4466	3287
576	4474	3280
577	4480	3271
578	4488	3263
579	4496	3255
580	4504	3248
581	4510	3239
582	4516	3230
583	4524	3222
584	4530	3213
585	4538	3206
586	4544	3197
587	4551	3189
588	4558	3180
589	4567	3173
590	4574	3165
591	4580	3157
592	4588	3149
593	4595	3140
594	4602	3132
595	4608	3124
596	4617	3116
597	4624	3108
598	4630	3099
599	4636	3091
600	4643	3082
601	4649	3074
602	4656	3065
603	4662	3056
604	4669	3048
605	4677	3040
606	4684	3033
607	4691	3025
608	4699	3017
609	4706	3009
610	4713	3000
611	4720	2992
612	4727	2984
613	4734	2976
614	4740	2967
615	4746	2958
616	4753	2950
617	4759	2942
618	4766	2933
619	4772	2925
620	4779	2917
621	4786	2908
622	4792	2900
623	4799	2892
624	4806	2883
625	4813	2876
626	4820	2867
627	4827	2859
628	4833	2850
629	4839	2842
630	4845	2833
631	4852	2825
632	4858	2817
633	4865	2808
634	4871	2800
635	4878	2792
636	4884	2783
637	4891	2775
638	4898	2767
639	4904	2758
640	4910	2750
641	4917	2742
642	4923	2733
643	4930	2725
644	4937	2717
645	4943	2708
646	4949	2700
647	4955	2691
648	4961	2683
649	4968	2675
650	4975	2667
651	4980	2658
652	4987	2650
653	4994	2642
654	5001	2634
655	5007	2626
656	5014	2617
657	5021	2609
658	5028	2601
659	5034	2593
660	5041	2585
661	5047	2577
662	5053	2568
663	5059	2560
664	5066	2552
665	5073	2544
666	5079	2535
667	5085	2527
668	5092	2519
669	5098	2511
670	5106	2503
671	5112	2495
672	5119	2487
673	5126	2479
674	5132	2471
675	5139	2463
676	5146	2455
677	5152	2447
678	5158	2438
679	5165	2431
680	5172	2422
681	5178	2414
682	5184	2406
683	5191	2398
684	5204	2393
685	5212	2385
686	5219	2378
687	5225	2369
688	5231	2361
689	5239	2353
690	5245	2345
691	5252	2337
692	5258	2329
693	5264	2321
694	5271	2313
695	5277	2305
696	5284	2297
697	5290	2289
698	5296	2280
699	5303	2272
700	5309	2264
701	5316	2257
702	5323	2249
703	5329	2240
704	5337	2233
705	5343	2225
706	5350	2217
707	5356	2209
708	5363	2201
709	5370	2193
710	5377	2185
711	5384	2177
712	5390	2169
713	5396	2161
714	5403	2153
715	5410	2145
716	5417	2138
717	5424	2130
718	5431	2122
719	5437	2114
720	5444	2106
721	5451	2098
722	5457	2090
723	5463	2082
724	5470	2074
725	5476	2066
726	5483	2059
727	5489	2051
728	5496	2043
729	5502	2035
730	5510	2027
731	5517	2019
732	5526	2013
733	5536	2006
734	5545	1999
735	5554	1992
736	5563	1985
737	5571	1978
738	5579	1970
739	5587	1963
740	5593	1955
741	5601	1947
742	5608	1939
743	5614	1931
744	5620	1923
745	5627	1916
746	5634	1908
747	5641	1900
748	5648	1892
749	5655	1885
750	5663	1877
751	5669	1869
752	5676	1862
753	5682	1854
754	5689	1846
755	5695	1838
756	5702	1830
757	5709	1822
758	5715	1814
759	5722	1807
760	5728	1798
761	5734	1791
762	5741	1783
763	5748	1775
764	5755	1767
765	5760	1759
766	5767	1752
767	5774	1744
768	5780	1736
769	5786	1728
770	5792	1720
771	5799	1712
772	5806	1705
773	5812	1697
774	5819	1689
775	5825	1681
776	5831	1673
777	5837	1665
778	5844	1657
779	5851	1650
780	5857	1642
781	5864	1634
782	5870	1627
783	5877	1619
784	5883	1611
785	5890	1603
786	5896	1596
787	5903	1588
788	5910	1580
789	5916	1572
790	5923	1565
791	5932	1558
792	5941	1551
793	5954	1544
794	5966	1538
795	5980	1532
796	5992	1526
797	6001	1519
798	6009	1511
799	6017	1504
800	6025	1497
801	6033	1489
802	6040	1481
803	6047	1474
804	6057	1467
805	6065	1459
806	6073	1452
807	6081	1445
808	6090	1437
809	6099	1430
810	6107	1423
811	6116	1416
812	6125	1408
813	6133	1401
814	6141	1394
815	6149	1386
816	6158	1379
817	6165	1371
818	6174	1364
819	6184	1357
820	6193	1350
821	6201	1342
822	6209	1335
823	6217	1328
824	6226	1320
825	6233	1313
826	6241	1305
827	6249	1298
828	6256	1290
829	6263	1282
830	6271	1275
831	6277	1267
832	6285	1260
833	6292	1252
834	6299	1244
835	6305	1237
836	6311	1229
837	6320	1221
838	6327	1214
839	6335	1206
840	6343	1199
841	6351	1191
842	6358	1184
843	6366	1176
844	6372	1168
845	6378	1161
846	6386	1153
847	6393	1146
848	6401	1138
849	6408	1130
850	6415	1123
851	6422	1115
852	6429	1108
853	6436	1100
854	6443	1092
855	6452	1085
856	6458	1077
857	6465	1070
858	6472	1062
859	6480	1054
860	6487	1047
861	6495	1039
862	6503	1032
863	6512	1025
864	6521	1017
865	6530	1010
866	6538	1002
867	6546	995
868	6554	988
869	6562	980
870	6569	973
871	6579	965
872	6586	958
873	6594	950
874	6601	943
875	6609	935
876	6616	927
877	6623	920
878	6631	912
879	6638	905
880	6647	897
881	6654	890
882	6661	882
883	6667	874
884	6675	867
885	6681	859
886	6688	852
887	6696	844
888	6702	836
889	6709	829
890	6716	821
891	6723	814
892	6730	806
893	6736	798
894	6743	791
895	6749	783
896	6757	775
897	6764	768
898	6770	760
899	6777	753
900	6784	745
901	6791	737
902	6797	730
903	6804	722
904	6810	714
905	6817	707
906	6824	699
907	6830	692
908	6837	684
909	6845	677
910	6854	669
911	6860	662
912	6868	654
913	6874	646
914	6882	639
915	6889	631
916	6895	624
917	6903	616
918	6909	608
919	6916	601
920	6923	593
921	6930	586
922	6938	578
923	6945	571
924	6954	563
925	6962	556
926	6970	548
927	6978	541
928	6987	533
929	6995	526
930	7003	519
931	7011	511
932	7019	504
933	7026	496
934	7035	489
935	7042	481
936	7051	474
937	7058	466
938	7067	459
939	7074	451
940	7083	444
941	7090	436
942	7098	429
943	7105	421
944	7113	414
945	7121	406
946	7128	398
947	7136	391
948	7144	383
949	7153	376
950	7161	368
951	7174	361
952	7182	354
953	7189	346
954	7198	339
955	7207	331
956	7215	324
957	7223	316
958	7231	309
959	7238	301
960	7247	294
961	7254	286
962	7263	279
963	7271	271
964	7279	264
965	7286	256
966	7294	248
967	7301	241
968	7310	233
969	7318	226
970	7326	218
971	7333	211
972	7341	203
973	7348	196
974	7356	188
975	7364	181
976	7372	173
977	7380	166
978	7388	158
979	7396	150
980	7405	143
981	7413	135
982	7421	128
983	7429	120
984	7437	113
985	7446	105
986	7453	98
987	7461	90
988	7469	83
989	7477	75
990	7486	67
991	7493	60
992	7501	52
993	7508	45
994	7516	37
995	7524	30
996	7530	22
997	7538	15
998	7545	7
999	7553	0
